Lab_Number,sample_description,parser_output,prediction,ground_truth
P2006941,"Lepkość w trendzie stabilnym. Własności dyspergujące oraz temperatura zapłonu w normie. Zawartość wody w normie. Metale znajdują się w trendzie stabilnym. 

Wnioski i zalecenia:

Zalecamy obserwowanie zmian w kolejnych analizach. Wykonać kolejne badanie za ok. 500 mth pracy silnika. ","{""temperatura_zapłonu"": ""w_normie"", ""woda"": ""w_normie""}",1,WSKAZÓWKA
P2007402,"Oznaczona lepkość w normie. Zawartość stałych ciał obcych w normie. Liczba zasadowa w normie. Własności dyspergujące w normie. Temperatura zapłonu w normie. Zawartość wody w normie. Zawartość sodu jest na wyższym poziomie w stosunku do poprzednich analiz. Poziom metalicznych produktów zużycia określony w badaniu pierwiastków utrzymuje się na stabilnym poziomie. Indeks PQ w normie.

Wnioski i Zalecenia:

Odnotowano w stosunku do szeregu analiz wzrostowy trend zawartości sodu. Koniecznym jest przeprowadzenie inspekcji układu chłodzenia. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.","{""lepkość"": ""w_normie"", ""stałe_ciała_obce"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""woda"": ""w_normie"", ""pq_indeks"": ""w_normie""}",2,WSKAZÓWKA
P2007679,"Oznaczona lepkość w normie. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia jest w normie. Zawartość krzemu wskazuje na kurz/pył z otoczenia, elastyczne uszczelnienia czy materiały montażowe na bazie silikonu.



Wnioski i Zalecenia:



Proszę skontrolować układ doprowadzania powietrza (zablokowane wkłady filtracyjne, zasysanie fałszywego powietrza). Proszę obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P2007680,"Oznaczona lepkość w normie. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia jest w normie.

Wnioski i Zalecenia:

Proszę obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",1,W NORMIE
P2007840,"Oznaczona lepkość w normie. Liczba kwasowa w normie. Liczba zasadowa w normie. Zawartość chloru jest na wyższym, lecz akceptowalnym poziomie. Poziom metalicznych produktów zużycia określony w badaniu pierwiastków (cząstki <5um) w normie.

Wnioski i Zalecenia:

Proszę skontrolować jakość gazu doprowadzanego do komory spalania silnika. Proszę obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""chlor"": ""w_akceptowalnym_zakresie"", ""metale_zużyciowe"": ""w_normie""}",0,WSKAZÓWKA
P2008258,"Na widmie IR widoczne są pozostałości biokomponentów. Zawartość paliwa w normie. Zawartość żelaza wykazuje skokowy wzrost.

Wnioski i Zalecenia:

W niedługim okresie czasu proszę przeprowadzić badanie weryfikujące uzyskane rezultaty.","{""paliwo"": ""w_normie""}",1,UWAGA
P2008437,"Oznaczona lepkość w normie. Temperatura zapłonu w normie. Zawartość sodu jest na stabilnym poziomie. Zawartość miedzi i ołowiu wykazuje wzrost skokowy. Poziom pozostałych metalicznych produktów zużycia jest w normie.

Wnioski i Zalecenia:

Ze względu na oznaczony poziom metali zużyciowych zalecam przeprowadzić inspekcję diagnostyczną silnika. Proszę powiązać wykryte metale zużyciowe z metalurgią układu (np. łożyska ślizgowe). Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",2,UWAGA
P2008495,"Zawartość miedzi wykazuje skokowy wzrost. Poziom pozostałych metalicznych produktów zużycia określony w badaniu pierwiastków (cząstki <5um) w normie. Wysoka zawartość ołowiu pochodzi z paliwa lotniczego i jest to sytuacja normalna.

Wnioski i Zalecenia:

W celu obserwacji dynamiki procesów zużyciowych proszę przeprowadzić kolejne badanie za około 25h pracy silnika.","{""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P2008504,"Oznaczona lepkość w normie. Zawartość stałych ciał obcych w normie. Własności dyspergujące są lekko pogorszone. Temperatura zapłonu w normie.

Wnioski i Zalecenia:

Proszę obserwować zmiany w następnej analizie. W celu śledzenia trendów zmian proszę przeprowadzić kolejne badanie za około 500h pracy silnika.","{""lepkość"": ""w_normie"", ""stałe_ciała_obce"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie""}",1,WSKAZÓWKA
P2008768,"Oznaczona lepkość jest w zakresie granicznym między klasą SAE 40, a SAE 50. Zawartość stałych ciał obcych w normie. Liczba zasadowa w normie. Własności dyspergujące w normie. Temperatura zapłonu w normie. Zawartość miedzi i ołowiu jest wyższa niż przy poprzedniej analizie - wartości te jednak korelują z historycznymi wynikami. Poziom pozostałych metalicznych produktów zużycia w normie. Zawartość wody w normie.

Wnioski i Zalecenia:

W celu oceny dynamiki zużycia proszę przeprowadzić kolejną analizę za około 250 mth pracy silnika.","{""lepkość"": ""w_zakresie_granicznym"", ""stałe_ciała_obce"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""woda"": ""w_normie""}",1,WSKAZÓWKA
P2009507,"Oznaczona lepkość uległa jedynie niewielkiemu obniżeniu w porównaniu do poprzedniej analizy. Własności dyspergujące w normie. Indeks PQ, informujący o zawartości cząstek ferromagnetycznych, w normie. Zawartość wody na dopuszczalnym poziomie.



Wnioski i zalecenia:

Proszę obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.     ","{""pq_indeks"": ""w_normie"", ""woda"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P2009725,"Lepkość w normie dla klasy SAE 40. Liczba zasadowa w normie. Temperatura zapłonu w normie. W dalszym ciągu utrzymuje się zwiększona zawartość sodu. Zawartość metali zuzyciowych w stabilnym trendzie. 

Wnioski i zalecenia:

Ze względu na możliwe zanieczyszczenie płynem chłodniczym zalecana jest kontrola układu chłodzenia pod kątem ewentualnych przecieków. Jeżeli jeszcze to nie nastąpiło zalecamy wymianę oleju na świeży. Wykonać kolejne badanie za ok. 250 mth pracy silnika w celu śledzenia zmian. ","{""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie""}",2,UWAGA
P2010127,"Zawartość metali zużyciowych w normie - jednakże biorąc pod uwagę stosunkowo krótki czas pracy od wymiany, taki poziom może świadczyć o występujących procesach zużycia w układzie lub występować jako pozostałość po wymianie. Pozostałe parametry w normie. 

Wnioski i zalecenia:

Zalecane kontynuowanie próbkowania co 250 mth pracy w celu ustalenia trendu. ","{""pozostałe_parametry"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",0,WSKAZÓWKA
P2010174,"Lepkość w normie oraz temperatura zapłonu w normie - nastąpił jednak spadek w stosunku do poprzedniego badania. Zawartość metali zużyciowych w normie. Własności dyspergujące w normie. Zawartość wody w normie.

Wnioski i zalecenia:

Obniżenie lepkości oraz temperatury zapłonu może świadczyć o zanieczyszczeniu oleju paliwem - zalecana kontrola układu paliwowego pod kątem ewentualnych nieszczelności. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem. ","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""woda"": ""w_normie""}",1,WSKAZÓWKA
P2010180,"Lepkość w normie dla klasy SAE 40, widoczny jest jednak trend spadkowy. Stabilny trend zawartości sodu oraz krzemu. Temperatura zapłonu w normie. Nie stwierdzono niepokojącego zanieczyszczenia oleju paliwem. Zawartość metali zużyciowych jest na stabilnym poziomie. 

Wnioski i zalecenia:

Oznaczone parametry znajdują się w stabilnym trendzie. Zalecana obserwacja zmian w kolejnej analizie. Wykonać kolejne badanie za ok. 500 mth pracy silnika. ","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie""}",1,WSKAZÓWKA
P2010265,"Oznaczona lepkość w zakresie dopuszczalnym dla oleju klasy SAE 40. Wzajemna relacja liczby kwasowej oraz liczby zasadowej świadczy o wyczerpaniu rezerwy alkalicznej oleju oleju. Stwierdzono lekki wzrost oksydacji oleju. Zawartość metalicznych cząstek zużyciowych w normie. Zawartość wody w normie.



Zalecenia i wnioski:

Olej nie kwalifikuje się do dalszej eksploatacji. Proszę wykonać kolejne badanie po przeprowadzeniu wymiany oleju na świeży.","{""lepkość"": ""w_dopuszczalnym_zakresie"", ""metale_zużyciowe"": ""w_normie"", ""woda"": ""w_normie""}",2,UWAGA
P2010378,"Oznaczona lepkość w normie dla oleju klasy SAE 40. W porównaniu do poprzedniej analizy stwierdzono spadek liczby zasadowej jednak rezerwa alkaliczna mieści się jeszcze w bezpiecznym zakresie. Zawartość wody w normie. Zawartość stałych zanieczyszczeń w normie. Zawartość metalicznych cząstek zużyciowych w normie.



Zalecenia i wnioski:

Olej kwalifikuje się do dalszej eksploatacji jednak zalecane jest przeprowadzenie kolejnego badania nie później niż za 250 godzin pracy silnika.","{""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_zakresie_bezpiecznym"", ""rezerwa_alkaliczna"": ""w_zakresie_bezpiecznym"", ""woda"": ""w_normie"", ""zanieczyszczenia_stałe"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",2,WSKAZÓWKA
P2010845,"Poziom dodatków odbiega od oczekiwanego dla oleju AeroShell W15W50 - w eksploatacji prawdopodobnie jest olej innego typu. Zawartość metalicznych produktów zużycia mieści się w akceptowalnym zakresie. Wysoka zawartość ołowiu pochodzi z paliwa lotniczego i jest to sytuacja normalna dla tłokowych silników lotniczych.





Wnioski i zalecenia:



Proszę obserwować zmiany w następnej analizie, zgodnie z przyjętym harmonogramem diagnostyki.","{""metale_zużyciowe"": ""w_akceptowalnym_zakresie""}",0,WSKAZÓWKA
P2011021,"Lepkość w normie. Temperatura zapłonu w normie. Zawartość metali zużyciowych na stabilnym poziomie. Nie stwierdzono niepokojącego zanieczyszczenia paliwem ani glikolem. Liczba zasadowa w normie. 

Wnioski i zalecenia:

Zalecana obserwacja zmian w kolejnej analizie. Wykonać kolejne badanie za ok.500 mth pracy silnika. ","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""paliwo"": ""brak_wykrycia"", ""glikol"": ""brak_wykrycia"", ""liczba_zasadowa"": ""w_normie""}",1,WSKAZÓWKA
P2011340,"Oznaczona lepkość oraz poziom metalicznych produktów zużycia określony w badaniu pierwiastków (cząstki <5um) w normie. Wyniki dodatków uszlachetniających wskazują na olej CAT DEO.

Zalecenia i wnioski:

Proszę zweryfikować informacje nt. zastosowanego oleju. Prowadzić skuteczną ewidencję w zakresie zastosowanych środków smarnych. Proszę obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P2011399,"Lepkość oraz poziom dodatków uszlachetniających w normie. Krytyczny poziom zawartości krzemu oraz miedzi.

Zalecenia i wnioski:

Źródłem krzemu mogą być zanieczyszczenia z zewnątrz. Zaleca się skontrolowanie układu doprowadzania powietrza oraz wkładów filtracyjnych. Podwyższona miedź może być produktem korozji lub świadczyć o zużyciu elementów układu. W celu śledzenia trendu proszę przeprowadzić kolejne badanie za około 250mth pracy lokomotywy.","{""lepkość"": ""w_normie"", ""dodatki_uszlachetniające"": ""w_normie""}",2,UWAGA
P2011493,"Oznaczona lepkość w zakresie dopuszczalnym dla oleju klasy SAE 40. Temperatura zapłonu w normie. Skokowy wzrost zawartości ołowiu. Poziom pozostałych oznaczonych pierwiastków zużyciowych oraz indeks PQ w normie. W próbce nie stwierdzono obecności oleju napędowego ani płynu chłodniczego.



Zalecenia i wnioski:

Wzrost zawartości ołowiu wskazuje na intensywne procesy zużycia lub/i korozji zachodzące w układzie olejowym (np. łożysk silnika) lub procedura poboru próbki mogła mieć wpływ na wynik badania. Zalecane jest pilne przysłanie próbki kontrolnej w celu weryfikacji wyniku analizy. ","{""lepkość"": ""w_dopuszczalnym_zakresie"", ""temperatura_zapłonu"": ""w_normie"", ""pq_indeks"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""olej_napędowy"": ""brak_wykrycia""}",0,UWAGA
P2011650,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w zakresie granicznym. Zawartość metalicznych cząstek zużyciowych w normie. W próbce nie stwierdzono obecności paliwa ani płynu chłodniczego.



Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie, zalecane jest przeprowadzenie kolejnego badania za około 500mth.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_zakresie_granicznym"", ""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P2012407,"Spadkowy trend lepkości oraz temperatury zapłonu - wskazuje na zanieczyszczenie oleju paliwem, nie jest to jednak sytuacja krytyczna. Zawartość metali zużyciowych w normie. 

Wnioski i zalecenia:

Zalecane przeprowadzenie kontroli układu paliwowego pod kątem ewentualnych przecieków. Wykonać kolejne badanie za ok. 250 mth pracy silnika. ","{""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P2012972,"Lepkość w normie dla klasy SAE 40. Temperatura zapłonu w normie. Nie stwierdzono niepokojącego zanieczyszczenia oleju paliwem. Zwiększona zawartość sodu wskazuje na możliwe zanieczyszczenie oleju glikolem.

Wnioski i zalecenia:

Skontrolować układ chłodniczy pod kątem ewentualnych przecieków. Wykonać kolejne badanie za ok. 500 mth pracy silnika.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie""}",2,WSKAZÓWKA
P2013264,"Oznaczona lepkość w normie. Temperatura zapłonu w zakresie granicznym. Poziom dodatków uszlachetniających w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarze <5um) w normie.

Zalecenia i wnioski:

Przeprowadzić kolejne badanie za około 250mth. Proszę obserwować zmiany w następnej analizie. ","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_zakresie_granicznym"", ""dodatki_uszlachetniające"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P2013595,"Oznaczona lepkość w normie. Temperatura zapłonu w normie. Zawartość miedzie lekko podniesiona - zalecane śledzenie trendu zmian. Zawartość pozostałych metali zużyciowych w normie. 

Zalecenia i wnioski : 

Zaleca się obserwować zmiany w kolejnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P2013737,"Oznaczona lepkość w normie. Na widmie IR widoczne biokomponenty z paliwa. Zawartość żelaza na niepokojącym poziomie.

Zalecenia i wnioski : 

Prosimy o pilne przesłanie próbki weryfikującej oraz przeprowadzeni kontroli wewnętrznej silnika.","{""lepkość"": ""w_normie""}",1,UWAGA
P2013913,"Oznaczona lepkość w normie dla klasy oleju SAE 40. Temperatura zapłonu w normie. Poziom krzemu w akceptowalnym zakresie. Na widmie IR widoczne pozostałości biokomponentów z paliwa, jednak temperatura zapłonu oraz lepkość nie wskazują na przedostawanie się zanieczyszczeń do układu.

Zalecenia i wnioski : 

Proszę przeprowadzić inspekcję układu doprowadzania paliwa do silnika pod kątem możliwych przecieków. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""krzem"": ""w_akceptowalnym_zakresie""}",1,WSKAZÓWKA
P2014029,"Oznaczona lepkość w normie dla klasy oleju SAE 40. Temperatura zapłonu w normie. Zwartość pierwiastków zużyciowych i metali uszlacheniająccych w normie. Na widmie IR zanotowano pozostałości biokomponentów z paliwa. 

Zalecenia i wnioski : 

Proszę monitorować stan silnika pod kątem przedostawania się paliwa do układu. Obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",0,WSKAZÓWKA
P2014049,"Oznaczona lepkość w normie. Własności dyspergujące w dalszym ciągu obniżone. Temperatura zapłonu w normie. Indeks PQ w normie.

Zalecenia i wnioski : 

Obserwować zmiany w następnej analizie. Wykonać kolejne badanie nie później niż za miesiąc od daty pobrania próbki aktualnej  w celu śledzenia zmian.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""pq_indeks"": ""w_normie""}",1,WSKAZÓWKA
P2014062,"Lepkość w normie. Temperatura zapłonu w normie. Wyraźny wzrost zawartości żelaza - zalecane wykonanie kolejnego badania w terminie przyspieszonym.

Wnioski i zalecenia:

W celu śledzenia trendu zawartości żelaza pod kątem zużywania się elementów silnika, proszę przeprowadzić kolejne badanie po okresie 250mth pracy silnika.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie""}",1,UWAGA
P2014063,"Oznaczona lepkość oraz temperatura zapłonu w normie. Zawartość żelaza niższa niż w poprzednim badaniu, jednakże biorąc pod uwagę stosunkowo krótki czas pracy od wymiany oleju zalecane jest wykonanie kolejnego badania w terminie przyspieszonym.

Wnioski i zalecenia:

W celu śledzenia trendu zawartości żelaza zaleca się wykonanie kolejnej analizy oleju w okresie 250mth pracy silnika. ","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie""}",0,WSKAZÓWKA
P2100219,"Oznaczona lepkość w normie dla klasy oleju SAE 40. Temperatura zapłonu w normie. Zawartość w dalszym ciągu podniesiona. Zawartość metali zużyciowych w trendzie stabilnym. 

Zalecenia i wskazania :

Skontrolować układ chłodniczy pod kątem ewentualnych przecieków. Wykonać kolejne badanie za ok. 500 mth pracy silnika.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie""}",1,WSKAZÓWKA
P2100228,"Oznaczona lepkość oraz temperatura zapłonu krytycznie obnożone. Właśności dyspergujące w normie. Zawartość ciał stałych w normie.

Zalecenia i wskazania : 

Wyniki wzkazują na krytyczne zanieczyszczenie paliwem. Zalecana możliwie jak najszybsza wymiana oleju na świeży. Skontrolować układ paliwowy pod kątem występujących przecieków. Wykonać kolejne badanie po przeprowadzeniu zabiegów korygujących. ","{""stałe_ciała_obce"": ""w_normie""}",2,UWAGA
P2100462,"Oznaczona lepkość w zakresie dopuszczalnym dla oleju klasy SAE 15W-40. Temperatura zapłonu w zakresie granicznym. Zawartość metalicznych cząstek zużyciowych na akceptowalnym poziomie. Nie stwierdzono niepokojącego zanieczyszczenia oleju.



Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Zalecane jest przeprowadzenie kolejnego badania za około 500mth.","{""lepkość"": ""w_dopuszczalnym_zakresie"", ""temperatura_zapłonu"": ""w_zakresie_granicznym"", ""metale_zużyciowe"": ""w_akceptowalnym_zakresie""}",1,WSKAZÓWKA
P2100890,"Oznaczona lepkość w normie dla klasy SAE 40. Temperatura zapłonu w normie. Widoczny wzrost poziomu miedzi w stosunku do poprzedniego badania. Pozostałe parametry w normie.

Zalecenia i wnioski:

Proszę przeprowadzić kolejne badanie za około 250h pracy lokomotywy w celu oceny dynamiki procesów zużyciowych.","{""pozostałe_parametry"": ""w_normie"", ""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie""}",1,WSKAZÓWKA
P2101360,"Oznaczona lepkość w normie. Zawartość stałych ciał obcych w normie. Liczba zasadowa w normie. Własności dyspergujące pogorszone. Temperatura zapłonu na poziomie akceptowalnym. Zawartość wody w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarze <5um) w normie. Indeks PQ informujący o zawartości cząstek ferromagnetycznych (niezależnie od rozmiaru cząstek) w normie.

Wnioski i zalecenia:

Proszę o przesłanie próbki kontrolnej do analizy. Jeśli nie chcą państwo przeprowadzić badania weryfikacyjnego to zalecam wymianę oleju na świeży.","{""lepkość"": ""w_normie"", ""stałe_ciała_obce"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""temperatura_zapłonu"": ""w_akceptowalnym_zakresie"", ""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie""}",1,UWAGA
P2101749,"Lepkość wskazuje na klasę SAE 40. Własności dyspergujące w normie. Temperatura zapłonu w normie. Nie wykryto niepokojącego zanieczyszczenia glikolem ani paliwem.

Wnioski i zalecenia:

Upewnić się czy olej o danej lepkości może być eksploatowany. W przeciwnym wypadku należy wymienić na olej o odpowiedniej lepkości. Wykonać kolejne badanie zgodnie z harmonogramem. ","{""temperatura_zapłonu"": ""w_normie"", ""glikol"": ""brak_wykrycia""}",1,WSKAZÓWKA
P2101750,"Oznaczona lepkość w normie. Liczba zasadowa w normie. Zawartość stałych ciał obcych w normie. Własności dyspergujące pogorszone. Temperatura zapłonu w zakresie akceptowalnym. Zawartość wody w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarze <5um) w normie. Indeks PQ w normie. 

Wnioski i zalecenia:

Ze względu na obniżone własności dyspergujące olej nie kwalifikuje się do dalszej eksploatacji - zalecana wymiana oleju na świeży. Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. ","{""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""stałe_ciała_obce"": ""w_normie"", ""temperatura_zapłonu"": ""w_akceptowalnym_zakresie"", ""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie""}",1,UWAGA
P2102204,"Oznaczona lepkość w normie. Liczba zasadowa w normie. Zawartość stałych ciał obcych w normie. Własności dyspergujące w dalszym ciągu pogorszone. Temperatura zapłonu w zakresie akceptowalnym. Zawartość wody w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarze <5um) w normie. Indeks PQ w normie. Olej wykazuje wysokie zanieczyszczenie sadzą.

Wnioski i zalecenia:

Ze względu na obniżone własności dyspergujące oraz wysoką zawartość sadzy olej nie kwalifikuje się do dalszej eksploatacji - zalecana wymiana oleju na świeży. Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. ","{""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""stałe_ciała_obce"": ""w_normie"", ""temperatura_zapłonu"": ""w_akceptowalnym_zakresie"", ""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie""}",1,UWAGA
P2102294,"Oznaczona lepkość powyżej wartości dla klasy SAE 40. Stosunek liczny kwasowej do liczby zasadowej wykazuje na wyczerpanie się rezerwy alkalicznej. Zwiększona wartość oksydacji. Nie wykryto niepokojącej nitracji. Zawartość metali zużyciowych w normie.

Zalecenia i wnioski : 

Ze względu na widoczne symptomy postępującej degradacji zalecana jest jak najszybsza wymiana oleju na świeży. Wykonać kolejne badanie po przeprowadzeniu zabiegów korygujących","{""nitracja"": ""brak_wykrycia"", ""metale_zużyciowe"": ""w_normie""}",2,UWAGA
P2102525,"Oznaczona lepkość w normie. Temperatura zapłonu w normie. Odnotowano wzrost zawartości miedzi w stosunku do poprzedniej analizy. Poziom pozostałych metalicznych produktów zużycia w normie.

Wnioski i zalecenia:

W celu obserwacji trendu zawartości miedzi zaleca się przeprowadzić kolejne badanie za około 500mth. Proszę obserwować zmiany w następnej analizie.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P2102526,"Oznaczona lepkość w normie. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarze <5um) w normie.

Wnioski i zalecenia:

Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. Proszę obserwować zmiany w następnej analizie.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",0,WSKAZÓWKA
P2102593,"Oznaczona lepkość w normie dla oleju klasy SAE 15W-40. Temperatura zapłonu w zakresie granicznym. Zawartość stałych zanieczyszczeń w normie. Zawartość wody w normie. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o podwyższonej zawartości płynu chłodniczego w próbce.



Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Zalecane jest przeprowadzenie kolejnego badania za 500mth. ","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""w_zakresie_granicznym"", ""zanieczyszczenia_stałe"": ""w_normie"", ""woda"": ""w_normie""}",1,WSKAZÓWKA
P2102646,"Dla danej próbki oznaczyliśmy zlecone parametry. Zawartość miedzi w zakresie granicznym. Poziom pozostałych metalicznych produktów zużycia w dopuszczalnym zakresie.

Wnioski i zalecenia:

W celu obserwacji zmian trendu zalecane jest wykonanie kolejnego badania zgodnie z przyjętym harmonogramem diagnostyki.  ","{""miedź"": ""w_zakresie_granicznym"", ""metale_zużyciowe"": ""w_dopuszczalnym_zakresie""}",0,WSKAZÓWKA
P2102648,"Dla danej próbki oznaczyliśmy zlecone parametry. Zawartość miedzi w zakresie granicznym. Poziom pozostałych metalicznych produktów zużycia w dopuszczalnym zakresie.

Wnioski i zalecenia:

W celu obserwacji zmian trendu zalecane jest wykonanie kolejnego badania zgodnie z przyjętym harmonogramem diagnostyki.  ","{""miedź"": ""w_zakresie_granicznym"", ""metale_zużyciowe"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P2103061,"Zawartość dodatków na poziomie oczekiwanym dla tego typu oleju. Podniesiony poziom miedzi, pozostałe metale zużyciowe w normie. Wysoka zawartość ołowiu pochodzi z paliwa lotniczego i jest to sytuacja normalna dla lotniczych silników tłokowych. 

Wnioski i zalecenia:

Powiązać wykryte metale zużyciowe z metalurgią smarowanych elementów (miedź - m.in. łożyska ślizgowe). Zalecana obserwacja zmian w kolejnej analizie. Wykonać kolejne badanie zgodnie z harmonogramem diagnostyki jednostki. ","{""miedź"": ""w_normie""}",2,WSKAZÓWKA
P2103108,"Lepkość obniżona - wskazuje na olej klasy SAE 40. Zawartość zanieczyszczeń stałych w normie. Własności dyspergujące obniżone. Temperatura zapłonu w normie. 

Wnioski i zalecenia:

Upewnić się czy olej o danej klasie lepkości może być eksploatowany. Nie stwierdzono niepokojącego zanieczyszczenia glikolem ani paliwem. Zalecamy wykonanie kolejnego badanie za ok. 250 mth pracy silnika w celu śledzenia zmian. ","{""lepkość"": ""w_normie"", ""zanieczyszczenia_stałe"": ""w_normie"", ""temperatura_zapłonu"": ""w_normie""}",1,WSKAZÓWKA
