Probe,Lab_Number,Prediction,Overall_Assessment_pred_file,Overall_Interpretation,Overall_Assessment_data
2,P1807137,2,2,"Zawartość paliwa w oleju krytycznie podniesiona. Temperatura zapłonu obniżona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Przeprowadzić inspekcję układu doprowadzenia paliwa. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807018,1,2,"Oznaczona lepkość nie spełnia wymagań.

Wnioski i Zalecenia:

Ze względu na obniżony poziom lepkości olej nie kwalifikuje się do dalszej eksploatacji. Olej należy wymienić. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807124,2,2,"Krytycznie podniesiona zawartość paliwa w oleju. Temperatura zapłonu obniżona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Skontrolować układ doprowadzania paliwa. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807219,0,0,"Oznaczona lepkość w normie. Liczba kwasowa oraz liczba zasadowa w normie. Poziom metalicznych produktów zużycia określony w badaniu pierwiastków (cząstki <5um) w normie. Indeks PQ informujący o zawartości cząstek ferromagnetycznych niezależnie od rozmiaru w normie.

Wnioski i Zalecenia:

Olej kwalifikuje się do dalszej eksploatacji. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1806950,0,0,"Wszystkie oznaczone parametry w akceptowalnym zakresie.



Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Przysłać kolejna próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",W NORMIE
2,P1807151,0,0,"W próbce widoczne nieuzbrojonym okiem drobne cząstki zanieczyszczeń. Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Procedura poboru mogła mieć wpływ na obecne w próbce zanieczyszczenia. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki płynu.",W NORMIE
2,P1807120,2,2,"W stosunku od poprzedniego badania poziom molibdenu, sodu oraz ołowiu wzrósł. Temperatura zapłonu wyraźnie obniżona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Przeprowadzić inspekcję układu chłodzenia ukierunkowaną na dostawanie się płynu chłodniczego do układu olejowego oraz diagnostyczną ukierunkowaną na zużycie elementów zawierających w metalurgii ołów (np. panewki). Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807013,1,2,"Oznaczona lepkość nie spełnia wymagań.

Wnioski i Zalecenia:

Ze względu na obniżony poziom lepkości olej nie kwalifikuje się do dalszej eksploatacji. Przeprowadzić kolejne badanie po przeprowadzeniu zabiegów korygujących.",UWAGA
2,P1807022,1,1,"Lekko podniesiony poziom paliwa w oleju. Lekko obniżona temperatura zapłonu. Pozostałe parametry w normie.



Wnioski i zalecenia:

Skontrolować układ doprowadzania paliwa do silnika. Proszę obserwować zmiany w następnej analizie. Przysłać kolejną próbkę do badań za ok 500mth pracy silnika.",WSKAZÓWKA
2,P1807186,1,0,"Zawartość miedzi lekko podniesiona - trend stabilny. Pozostałe oznaczone parametry w akceptowalnym zakresie.



Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. W celu śledzenia trendów zmian przeprowadzić kolejne badanie za około 500 mth pracy lokomotywy.",W NORMIE
2,P1807131,2,2,"Krytycznie podniesiona zawartość paliwa w oleju. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Skontrolować układ doprowadzania paliwa. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807135,1,1,"Zawartość miedzi lekko podniesiona - trend spadkowy. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Zwiększona zawartość miedzi może być pozostałością po poprzednim zalaniu. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie za około 500 mth pracy lokomotywy.",WSKAZÓWKA
2,P1807146,1,1,"W płynie znajdują się drobne czarne cząstki zanieczyszczeń. Temperatura krystalizacji obniżona - trend spadkowy. Zawartość glikolu podniesiona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Procedura poboru mogła mieć wpływ na uzyskane rezultaty. Proszę przeprowadzić uzupełnienie płynu wodą demineralizowaną zgodnie z zaleceniami producenta płynu. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki płynu.",WSKAZÓWKA
2,P1807025,0,0,"Wszystkie oznaczone parametry znajdują się w dopuszczalnym przedziale.

  Zalecenia i wnioski:

Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki zgodnie z przyjętym programem diagnostyki płynu. ",W NORMIE
2,P1807016,2,2,"Oznaczona lepkość drastycznie nie spełnia wymagań.

Wnioski i Zalecenia:

Ze względu na poziom lepkości olej nie kwalifikuje się do dalszej eksploatacji. Olej należy wymienić. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807363,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1806952,0,0,"Wszystkie oznaczone parametry w akceptowalnym zakresie.



Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",W NORMIE
2,P1806992,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1806995,1,1,"Zawartość paliwa w oleju lekko podniesiona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807687,2,2,"Podwyższony poziom paliwa. Obniżona temperatura zapłonu. Pozostałe oznaczone parametry w akceptowalnym zakresie.



Zalecenia i wnioski:

Proszę zidentyfikować i usunąć przyczynę podniesionego poziomu paliwa w oleju. Wykonać kolejne badanie po przeprowadzeniu zabiegów korygujących.          ",UWAGA
2,P1807180,0,0,"Wszystkie oznaczone parametry w akceptowalnym zakresie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",W NORMIE
2,P1807229,1,1,"W badaniu pierwiastków (cząstki <5um) w stosunku do poprzedniego lekko wzrosła zawartość żelaza, lecz wartość mieści się w zakresie akceptowalnym. Poziom pozostałych metalicznych produktów zużycia na poziomie stabilnym. Oznaczony ołów najprawdopodobniej pochodzi z paliwa lotniczego i jest to sytuacja normalna dla silników lotniczych.

Wnioski i Zalecenia:

Należy obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807559,2,2,"Zawartość paliwa w oleju krytycznie podniesiona. Temperatura zapłonu obniżona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Skontrolować układ doprowadzania paliwa. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807174,2,0,"Oznaczona lepkość w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807558,2,2,"Zawartość paliwa w oleju krytycznie podniesiona. Temperatura zapłonu lekko obniżona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Skontrolować układ doprowadzania paliwa. Wykonać kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807134,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807119,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807037,1,0,"Oznaczona lepkość w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807019,1,0,"Oznaczona lepkość w normie. 

  Zalecenia i wnioski:

Olej kwalifikuje się do dalszej eksploatacji. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej. ",W NORMIE
2,P1807181,0,0,"Wszystkie oznaczone parametry na akceptowalnym poziomie. 



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807017,0,0,"Oznaczona lepkość w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807023,0,0,"Wszystkie oznaczone parametry w dopuszczalnym zakresie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym programem diagnostyki.",W NORMIE
2,P1807136,1,1,"Zawartość paliwa w oleju lekko podniesiona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807117,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807139,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki płynu.",W NORMIE
2,P1807319,0,0,Wszystkie oznaczone parametry w normie.   Zalecenia i wnioski:    Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.   ,W NORMIE
2,P1807182,1,0,"Wszystkie oznaczone parametry na akceptowalnym poziomie.



Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807121,1,1,"Zawartość paliwa w oleju lekko podniesiona. Zawartość miedzi lekko podniesiona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Na podniesiony poziom miedzi najprawdopodobniej ma wpływ docieranie się elementów silnika. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807177,1,0,"Oznaczona lepkość w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807208,1,1,"Dla danej próbki oznaczono zlecone parametry.

Wnioski i Zalecenia:

Oznaczony ołów najprawdopodobniej pochodzi z paliwa lotniczego i jest to sytuacja normalna. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807179,0,1,"Wzrost skokowy zawartości żelaza. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie za około 500 mth pracy lokomotywy.",WSKAZÓWKA
2,P1807315,1,0,"Wszystkie oznaczone parametry na akceptowalnym poziomie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.           ",W NORMIE
2,P1807206,1,2,"Oznaczona lepkość nie spełnia wymagań.

Wnioski i Zalecenia:

Ze względu na obniżoną lepkość olej nie kwalifikuje się do dalszej eksploatacji. Proszę wymienić olej. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807122,2,2,"Lepkość mieści się w granicach klasy SAE 40. Temperatura zapłonu w normie. Lekko podniesiony poziom sodu - może wskazywać na śladowe zanieczyszczenie wodą i/lub płynem chłodniczym, trend jest jednak stabilny. Wyraźnie wzrostowy trend zawartości metali zużyciowych (żelazo, miedź, ołów, glin) - wskazuje na procesy zużycia elementów zawierających w swym składzie powyższe metale. 

Wnioski i zalecenia:
Ze względu na wyraźny wzrost zawartości metali zużyciowych zalecamy wymianę oleju na świeży przy najbliższej okazji. Prosimy prowadzić ewidencję dot. czasu pracy oraz dat wymian oleju - informacje te pozwalają na wystawienie bardziej precyzyjnej diagnozy. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki.",UWAGA
2,P1807185,1,0,"Wszystkie oznaczone parametry w akceptowalnym zakresie.



Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807324,0,0,"Wszystkie oznaczone parametry znajdują się w dopuszczalnym przedziale. 



Zalecenia i wnioski: Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki zgodnie z przyjętym programem diagnostyki płynu. ",W NORMIE
2,P1807217,1,1,"Wartość paliwa nieznacznie wzrosła w stosunku do poprzedniego badania. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807318,1,1,"Lekko podwyższony poziom paliwa. Pozostałe oznaczone parametry w normie.



Zalecenia i wnioski:

Proszę zidentyfikować i zlikwidować źródło podwyższonego poziomu paliwa aby zapobiec dalszemu wzrostowi. Obserwować zmiany w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",WSKAZÓWKA
2,P1807116,1,1,"Zawartość paliwa w oleju lekko podniesiona. Trend wzrostowy zawartości miedzi. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Patrząc na dynamikę przyrostów poziomu miedzi zalecam inspekcję silnika ukierunkowaną na zużycie elementów zawierających w metalurgii miedź. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807320,0,0,"Wszystkie oznaczone parametry w normie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",W NORMIE
2,P1807222,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807362,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807173,1,0,"Oznaczona lepkość w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807314,0,0,"Wszystkie oznaczone parametry na akceptowalnym poziomie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.                     ",W NORMIE
2,P1807307,0,2,"Znacznie podwyższona zawartość wody. Wszystkie pozostałe oznaczone parametry na akceptowalnym poziomie.



Zalecenia i wnioski:

Procedura poboru próbki mogła mieć wpływ na otrzymany wynik badań. Proszę pilnie przysłać próbkę kontrolną w celu potwierdzenia uzyskanych rezultatów.",UWAGA
2,P1807221,1,1,"Zawartość paliwa lekko podniesiona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807226,0,1,"Oznaczona lepkość w trendzie malejącym. Temperatura zapłonu lekko obniżona. Zawartość wody w normie. Indeks PQ w normie. Własności dyspergujące w normie.





Zalecenia i wnioski:

Obniżenie lepkości kinematycznej oraz temperatury zapłonu może być powodowane wzrostem zawartości paliwa w oleju. Proszę skontrolować układ doprowadzania paliwa do silnika. Obserwować zmiany  trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",WSKAZÓWKA
2,P1807317,0,0,"Wszystkie oznaczone parametry na akceptowalnym poziomie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",W NORMIE
2,P1807327,0,1,"Wszystkie oznaczone parametry znajdują się w dopuszczalnym przedziale. Próbka zawiera zanieczyszczenia widoczne nieuzbrojonym okiem, możliwe pochodzenie - nieprawidłowa procedura poboru próbki.



Zalecenia i wnioski:

Proszę zadbać o poprawne zabezpieczenie układu chłodzenia przed wnikaniem zanieczyszczeń z zewnątrz. Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki zgodnie z przyjętym programem diagnostyki płynu.  ",WSKAZÓWKA
2,P1807313,0,0,"Wszystkie oznaczone parametry na akceptowalnym poziomie. Lekki wzrost poziomu sodu.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.                   ",W NORMIE
2,P1807178,1,1,"Zawartość paliwa w oleju lekko podniesiona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807316,0,0,"Wszystkie oznaczone parametry na akceptowalnym poziomie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",W NORMIE
2,P1807220,2,2,"W badaniu utrzymuje się wysoki poziom molibdenu, sodu oraz ołowiu, lecz odnotowano poprawę w stosunku do poprzedniego badania. Temperatura zapłonu obniżona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Jeżeli jeszcze nie nastąpiła inspekcja układu chłodzenia oraz diagnostyczna ukierunkowana na zużycie to należy ja natychmiast przeprowadzić. Następnie jeżeli to już nie nastąpiło to olej należy wymienić, obecnie badany olej nie kwalifikuje się do dalszej eksploatacji. Przeprowadzić kolejne badanie po krótkim czasie pracy lokomotywy (np. 100 mth) po wymianie oleju i wykonaniu działań naprawczych.",UWAGA
2,P1807323,0,1,"Wszystkie oznaczone parametry znajdują się w dopuszczalnym przedziale. Próbka zawiera zanieczyszczenia widoczne nieuzbrojonym okiem, możliwe pochodzenie - nieprawidłowa procedura poboru próbki. 

Zalecenia i wnioski:  

Proszę zadbać o poprawne zabezpieczenie układu chłodzenia przed wnikaniem zanieczyszczeń z zewnątrz. Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki zgodnie z przyjętym programem diagnostyki płynu. ",WSKAZÓWKA
2,P1807364,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807172,0,0,"Oznaczona lepkość spełnia wymagania.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807175,2,2,"Oznaczona lepkość nie spełnia wymagań.

Wnioski i Zalecenia:

Ze względu na obniżoną lepkość olej nie kwalifikuje się do dalszej eksploatacji. Proszę wymienić olej. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807207,1,2,"Oznaczona lepkość nie spełnia wymagań.

Wnioski i Zalecenia:

Ze względu na obniżoną lepkość olej nie kwalifikuje się do dalszej eksploatacji. Proszę wymienić olej. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807218,1,1,"Lekko podniesiona zawartość paliwa w oleju, może to być pozostałość po poprzednim zalaniu. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. W celu śledzenia trendów zmian przeprowadzić kolejne badanie za około 500 mth pracy lokomotywy.",WSKAZÓWKA
2,P1807223,1,1,"Zawartość paliwa w oleju lekko podniesiona, trend spadkowy. Poziom żelaza oraz miedzi na poziomie stabilnym. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
2,P1807227,1,1,"Oznaczona lepkość w trendzie malejącym. Temperatura zapłonu lekko obniżona. Zawartość wody w normie. Indeks PQ w normie. Własności dyspergujące w normie.

    Zalecenia i wnioski:

Obniżenie lepkości kinematycznej oraz temperatury zapłonu może być powodowane wzrostem zawartości paliwa w oleju. Proszę skontrolować układ doprowadzania paliwa do silnika. Obserwować zmiany  trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.   ",WSKAZÓWKA
2,P1807176,1,0,"Oznaczona lepkość w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807306,1,0,"Wszystkie oznaczone parametry mieszczą się w akceptowalnym zakresie. Lekki wzrost poziomu krzemu. 

Zalecenia i wnioski: 

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.   ",W NORMIE
2,P1807303,0,0,"Wszystkie oznaczone parametry mieszczą się w akceptowalnym zakresie. Lekki wzrost poziomu krzemu.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",W NORMIE
2,P1807305,0,0,"Wszystkie oznaczone parametry w akceptowalnym zakresie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.",W NORMIE
2,P1807304,1,1,"Lekko podwyższony poziom miedzi, możliwe pochodzenie - pozostałość sprzed wymiany oleju. Pozostałe oznaczone parametry w dopuszczalnym zakresie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań nie później niż po 500mth pracy silnika.",WSKAZÓWKA
2,P1807360,1,1,"Zawartość paliwa w oleju lekko podniesiona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. W celu śledzenia trendów zmian przeprowadzić kolejne badanie za około 500 mth.",WSKAZÓWKA
2,P1807308,0,2,"Znacznie podwyższona zawartość wody. Wszystkie pozostałe oznaczone parametry na akceptowalnym poziomie.



Zalecenia i wnioski:

Procedura poboru próbki mogła mieć wpływ na otrzymany wynik badań. Proszę pilnie przysłać próbkę kontrolną w celu potwierdzenia uzyskanych rezultatów.            ",UWAGA
2,P1807309,0,0,"Wszystkie oznaczone parametry na akceptowalnym poziomie. Lekko podwyższony poziom sodu - trend stabilny.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki.   ",W NORMIE
2,P1807438,2,2,"Oznaczona lepkość nie spełnia wymagań.

Wnioski i Zalecenia:

Ze względu na obniżony poziom lepkości, zalecam przeprowadzić wymianę oleju. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807435,2,1,"Oznaczona lepkość spełnia wymagania.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807443,1,1,"Zawartość paliwa w oleju podniesiona. Temperatura zapłonu obniżona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie za około 250 mth pracy lokomotywy.",WSKAZÓWKA
2,P1807686,1,1,"Lekko podwyższony poziom paliwa. Lekko podwyższony poziom sodu - trend malejący. Pozostałe oznaczone parametry w akceptowalnym zakresie.



Zalecenia i wnioski:

Proszę obserwować zmiany trendu w następnej analizie. Przysłać kolejną próbkę do badań za około 500mth pracy silnika.",WSKAZÓWKA
2,P1807560,2,0,"Własności reologiczne (lepkość i wskaźnik lepkości) w normie. Oznaczona liczba kwasowa w zakresie akceptowalnym. Liczba zasadowa w normie. Zawartość wody w normie. Poziom metalicznych produktów zużycia określony w badaniu pierwiastków (cząstki <5um) w normie. Nie posiadamy referencji oleju świeżego z tego względu brakuje poziomów referencyjnych świeżego oleju i nie jesteśmy w stanie przedstawić dokładnego komentarza odnośnie widma IR i ew. zmian w poziomie dodatków.

Wnioski i Zalecenia:

Proszę przesłać próbkę oleju świeżego. Olej kwalifikuje się do dalszej eksploatacji. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807359,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807449,2,2,"Zawartość glikolu obniżona. Niska temperatura krystalizacji wynika z niskiej zawartości glikolu. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Proszę przeprowadzić uzupełnienie płynu glikolem zgodnie z procedurami/zaleceniami producenta. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
2,P1807442,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807454,0,0,"Wszystkie oznaczone parametry w normie.

Wnioski i Zalecenia:

Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki płynu.",W NORMIE
2,P1807626,0,0,"Oznaczona lepkość w normie. Liczba kwasowa oraz liczba zasadowa w normie. Poziom metalicznych produktów zużycia określony w badaniu pierwiastków (cząstki <5um) w normie. Indeks PQ informujący o zawartości cząstek ferromagnetycznych niezależnie od rozmiaru w normie.

Wnioski i Zalecenia:

Olej kwalifikuje się do dalszej eksploatacji. Obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807447,0,0,"Wszystkie oznaczone parametry w akceptowalnym zakresie.



Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Przysłać kolejną próbkę do badań zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
2,P1807593,2,2,"Zawartość sodu krytycznie podniesiona. Zawartość paliwa w oleju krytycznie podniesiona. Pozostałe parametry w normie.

Wnioski i Zalecenia:

Przeprowadzić inspekcję układu doprowadzania paliwa. Przeprowadzić inspekcję układu chłodzenia pod kątem ewentualnych wycieków płynu chłodniczego. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",UWAGA
